# AQL Language Specification: the aql:net module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of HTTP / API access words that were moved out of the
# core registry. They are reached only after `import`, under the `Net`
# namespace: `import "aql:net" Net.word args`.
#
#   Net.fetch    — perform an HTTP request
#   Net.prepare  — build a request from an API descriptor (no send)
#   Net.direct   — build-and-send a request against an API descriptor
#
# fetch/prepare/direct need a live network or an API SDK to exercise
# end-to-end (covered by the Go fetch / prepare_direct tests), so the
# spec here pins the namespace binding and the move out of core.
#
# ─────────────────────────────────────────────────────────────────────
# §1  import binds the Net namespace (the module's exported namespace name)
import "aql:net" convert List Net.$module	['Net']	import binds the Net namespace
#
# §2  negative — the words are gone from core (unbound without import)
fetch "http://x"	ERROR:undefined_word	`fetch` is no longer a core word
Net.fetch "http://x"	ERROR:undefined_word	`Net` is unbound without `import`
#
# §3  prepare / direct — building a request from an API descriptor. A full
#     send needs a live network / API SDK (covered by the Go fetch /
#     prepare_direct tests), but the descriptor-validation path is reachable
#     and deterministic: an "api"-kind descriptor missing its "spec" is
#     rejected, exercising dispatch through the Net.prepare / Net.direct
#     wrappers without any network.
import "aql:net" Net.prepare {kind:"api"}	ERROR:missing required "spec" field	prepare validates the API descriptor
import "aql:net" Net.direct {kind:"api"}	ERROR:missing required "spec" field	direct validates the API descriptor
